word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
F L IY P,4,-13.710048377000405,-13.71022988479329,-13.697325866555982,-13.697375768680338,-14.970552170000996,-14.693419180634443,-14.993897867527338,-14.699921489044366,1.1458895672451845,1.150577330678951,1.1457915954431028,1.150550178605274,1.0101417581475371,1.0103300632607102,1.009495360860747,1.0101566676009435
G L IY D,4,-14.010268250450824,-14.01026804249501,-14.050867400698191,-14.050861113544757,-14.098900145981606,-13.997391266889544,-14.13125603026761,-14.00598251623401,1.1236182889280044,1.126777242939857,1.1235700249330176,1.1267632029488948,1.0081875212130793,1.008440728296264,1.0076801052290298,1.008300432018715
G L IH T,4,-12.675391363086774,-12.675642732289887,-12.713596059971104,-12.713654793956906,-12.277903727035955,-12.339940359176541,-12.308113699271836,-12.347841879050389,1.1887396326765374,1.1921923749395118,1.188533014595451,1.1921377714129142,1.0111148753085029,1.0109798353363915,1.0103630321257195,1.0107832945253223
K W IY D,4,-14.792481901871117,-14.791739135336712,-14.701491235717185,-14.701333541639544,-12.792711945949799,-12.677318612932094,-12.8469808887966,-12.690757877551867,1.1627107161129049,1.1640497112292616,1.1625767607346467,1.164015608160063,1.0079879610817162,1.0079724071269913,1.0074985532781093,1.0078426329240717
P L IH M,4,-12.511082805242221,-12.5116214411694,-12.523265018934236,-12.52340442240574,-11.971230641331317,-11.992178589842691,-11.997226378607122,-11.99894624704684,1.1932834428433572,1.1892635700928489,1.1930831355734612,1.1892164606184155,1.0136523738987813,1.0135733073421567,1.0127000874360284,1.0133231201697759
S K R AY D,5,-16.48295678355434,-16.483243579826404,-16.374512692875157,-16.37459751797491,-15.447312237359991,-15.193289840629088,-15.48535902784157,-15.20319262628144,1.256154314881232,1.2615749863291152,1.2558712730400463,1.261502156053098,1.0143664216959372,1.0142371602974454,1.0134123015739398,1.0139845839267503
S P L IH NG,5,-17.587361471956726,-17.58581142079405,-17.536456819303258,-17.536078292339,-15.164231960666534,-14.899513731566431,-15.267960407813579,-14.926947534193548,1.2615361821655935,1.2623198612981863,1.2612480130533832,1.2622488020492606,1.0209238736305937,1.0210260622035596,1.0193608450484155,1.0206035436454395
T IY P,3,-9.347509026865726,-9.347913458834014,-9.34027018766233,-9.340375127742284,-12.235844936165627,-12.001661496223111,-12.24366082102679,-12.00418733009253,1.1256055016115247,1.1250466476048764,1.1254982442284904,1.1250205640535467,1.0048501559423852,1.005129061328264,1.0045674627091636,1.0050490289163467
G UW D,3,-12.282352498922274,-12.281641388006598,-12.295449541370754,-12.295259744871124,-12.382470340880715,-12.575874009578634,-12.35382758099644,-12.560765913544724,1.082095034080121,1.0814655180020383,1.082083456422406,1.0814629838568222,1.002398725576271,1.002158667298619,1.0023116492618354,1.0021407526602117
N AH NG,3,-10.42334179812656,-10.421631106215173,-10.42171134492865,-10.42128914698785,-12.950155815419265,-12.789769156284427,-13.028205328736856,-12.810584641589806,1.1205035041002063,1.1189641895692513,1.1204083811323053,1.118941691109621,1.0044351715670012,1.0044145328111092,1.0041867552629602,1.0043498619417808
P AE NG K,4,-15.731777445518338,-15.729816532372968,-15.707378400608729,-15.70689086971544,-11.369505465197152,-11.458154802843278,-11.47899136232294,-11.486532506691246,1.2078249598789321,1.2009343546036113,1.2075895921351771,1.20087984731737,1.015908392315507,1.0149393420248551,1.0147501228562772,1.014651387618613
P R IY K,4,-12.582217377390755,-12.582757635163444,-12.565810690974114,-12.565951316586304,-11.242062734305744,-11.168312263917352,-11.266116017524357,-11.174634744011804,1.2377790028145956,1.2375478930718253,1.2374776290481853,1.2374735362424445,1.036612792151494,1.0371029325291239,1.0338603070313575,1.0363713113343798
R AE S K,4,-12.333078267390764,-12.3336415201581,-12.3217851108898,-12.321929935966624,-12.787895472283678,-12.879868572470349,-12.811637774675303,-12.885951509331791,1.2477965787009833,1.2486318092017592,1.2474711340942806,1.2485507316961924,1.0173511832263045,1.016555498263955,1.0160719862327852,1.0162305566114798
SH IH L K,4,-12.817231021727546,-12.817563178259007,-12.82466563312348,-12.824753213368565,-18.328980735298558,-18.302604739453816,-18.308129144293744,-18.29672716446818,1.2244539444386404,1.2251425814769086,1.2241798428083217,1.2250742563815324,1.0136599041495773,1.0135282005683874,1.0127164366878039,1.0132822634871972
T AA R K,4,-12.336644755022329,-12.337162257096843,-12.33993606318315,-12.340066760624268,-14.894820461489129,-14.90797557269562,-14.908697997026772,-14.911645332352721,1.2263697713969468,1.2251598332339801,1.2260913426931248,1.2250914395261852,1.021616885396976,1.0215010573251404,1.020026651666588,1.0210829470112874
T AH NG K,4,-13.433476503059877,-13.431933818294912,-13.420130683060691,-13.419752342681628,-13.11739227739193,-13.13571438029972,-13.207730083822646,-13.159287679527296,1.1861951551186143,1.1844292922213826,1.1860071990536754,1.1843836652979238,1.0113206324805537,1.0108295025793625,1.0105262577886767,1.0106266507157589
T R IH S K,5,-14.077151036270598,-14.078137879922943,-14.038563934948304,-14.038820981847344,-14.598506501438973,-14.638507251040059,-14.621446325055727,-14.644380285506086,1.257153472752193,1.2580304179747863,1.2568523988356992,1.257954511006427,1.0298843593637919,1.0297287263642672,1.0276523507465254,1.0291435348159663
B L EY F,4,-14.775209457239914,-14.775033839085255,-14.7759878844521,-14.775943074574297,-17.179272424346934,-16.891832144146544,-17.117962215065063,-16.877802884694937,1.1242654089890005,1.1242450912338966,1.1242215091158958,1.124234698144027,1.0065252433645044,1.007013940997936,1.0061697199474116,1.0069114637294876
B R EH JH,4,-14.71473332241191,-14.714440706054521,-14.702509141640533,-14.702429039487848,-13.699270079778206,-13.483519712608604,-13.734745995206033,-13.493622612975468,1.1787397311855121,1.1821231120552516,1.1785766184733968,1.1820815045195905,1.0163194248231993,1.0171698593657088,1.015178505700912,1.0168532007471476
CH UW L,3,-12.6367582972344,-12.635128889516038,-12.550436666353901,-12.550054556673215,-11.523904401036503,-11.482919672660122,-11.587511484141112,-11.498423654450665,1.1032635815166512,1.1019600197755046,1.103204122437766,1.1019459641424234,1.0015455245774079,1.0015602467394724,1.0015263888217767,1.0015548679449469
D EY P,3,-10.790857679317906,-10.790902338480551,-10.745980720748332,-10.745995312100744,-13.341460767293544,-13.058902390082164,-13.338552017533676,-13.05925610136216,1.1254261021645524,1.126211819941267,1.1253192608373828,1.1261851175970607,1.0026123077864328,1.0028178056559514,1.0025092442562962,1.0027865424886522
G EH Z,3,-12.348978457438367,-12.348199474248442,-12.375108271966472,-12.374897704132206,-13.043914338263516,-12.698739035965477,-13.05728032913554,-12.704682508450958,1.1263507765544287,1.1268351066926048,1.126242484356726,1.1268082279385672,1.0030254501279576,1.0029135115614176,1.0028883912016773,1.0028798715724456
N EY S,3,-9.318923499895575,-9.31925842383924,-9.305217707581985,-9.305304615712128,-12.781527249388892,-12.649840955175634,-12.789171966739717,-12.652258656401969,1.1224547641040417,1.1284865902750103,1.1223530250814189,1.1284581225738275,1.00342017213089,1.004186400017525,1.0032519331388365,1.0041262512701157
S P AE K,4,-12.891219393334394,-12.89166342825338,-12.884487802458139,-12.884602266806406,-12.21663017588046,-12.111937402498269,-12.243014347562925,-12.118835753781148,1.196559867230856,1.1989056881292646,1.196348562918182,1.1988520601392811,1.0135937748918946,1.0139337272774924,1.0126412369296744,1.0136742731560677
S T AY R,4,-12.680583425574428,-12.6808562809376,-12.580388549790605,-12.580468466213981,-14.172371009684403,-13.973338703941213,-14.1908296192876,-13.978039168915576,1.1829345812561072,1.185737979168186,1.1827524783142174,1.1856914873102076,1.0160077278406368,1.017786182517022,1.0149021902247743,1.0174616235269949
T EH SH,3,-10.232813958408782,-10.232879932461216,-10.172625265312888,-10.172647250934965,-12.605147424916588,-12.372006696968418,-12.622244085475737,-12.376826244214055,1.1315447713839308,1.131556251510182,1.1314255694850077,1.1315270017872587,1.0063756249721958,1.0069517236848038,1.0059763759339562,1.0068357188032753
W IH S,3,-10.661492338210765,-10.660804371766346,-10.565821170498001,-10.565677741814827,-9.505704040074454,-9.314075731017773,-9.562974698816232,-9.328170879478387,1.19345129123176,1.2004585497475906,1.193193755241646,1.2003912632804272,1.0188579185833058,1.0205897305915057,1.0174545028456554,1.020185202117879
N OW L D,4,-13.353932553067866,-13.35404110831073,-13.375343666291531,-13.375364697461755,-16.57390093660562,-16.336415889671173,-16.58849704906476,-16.34091964672061,1.1533339264769906,1.1564785558408015,1.153218577096981,1.1564478753647378,1.0087471182312295,1.0102870785537177,1.0081914752332186,1.0101046692726288
G R EH L,4,-13.59929125218292,-13.599373259506534,-13.579857750467092,-13.579875832085087,-11.652233747795213,-11.483097251640096,-11.694232133546098,-11.494278593192497,1.1803198262891088,1.1839586309741597,1.1801454110364107,1.1839134331194725,1.0167557985880715,1.017906201541195,1.0155724071011645,1.0175714500148447
M ER N,3,-9.549654586221752,-9.5500008981622,-9.55178241402566,-9.551871957375468,-10.7582045955062,-10.691484136142483,-10.770871307526146,-10.694928884647435,1.182628775858365,1.1828010535889726,1.1823944762096759,1.1827431380668814,1.0037474530731048,1.0039374543216728,1.0035541775086112,1.0038828088571519
SH ER N,3,-10.317899593012777,-10.317936287954403,-10.290151793517117,-10.290164537790659,-13.723027498493774,-13.53601605584462,-13.702978404001719,-13.530763703061053,1.1375994701775713,1.1398465023956843,1.1374639245592233,1.1398117304350723,1.0018302319160055,1.0021747840420994,1.0017884023852666,1.0021564705862944
S K OY L,4,-15.32921159045715,-15.323467178646965,-15.26814665836685,-15.26673975338863,-15.023060577069977,-15.018719724742567,-15.099236357222715,-15.039430455815463,1.1760517791652592,1.1792026298066605,1.1758876926596644,1.179160355560878,1.0095674248585127,1.0092347607679102,1.0089715068499805,1.0090869063215937
S K EH L,4,-12.135995512369528,-12.136622082887849,-12.09778060339343,-12.097945184236682,-13.551368412887062,-13.510751263820373,-13.560038111406584,-13.512767207242128,1.2002365462006195,1.2050030306184383,1.2000185252305702,1.2049465280186737,1.0110554115224661,1.0108866294390575,1.0103310133658636,1.0107002173442563
S K W IH L,5,-16.551500281129584,-16.551167762317124,-16.461125086481736,-16.461073486541217,-13.899337783011605,-13.866950684307074,-13.965415860294225,-13.883111456733147,1.2724745163650022,1.2745151978487057,1.2721143673626103,1.2744222506991523,1.0178181141893219,1.0171627607172504,1.0165312247299572,1.0168328834843197
S N EH L,4,-11.759876139401184,-11.760557756144587,-11.717298029394714,-11.717477033804848,-15.179030211527198,-15.233806445801013,-15.174229079072319,-15.231870403771854,1.2252168101004728,1.2271917697183126,1.2249439739449122,1.2271232997895298,1.0046926807872851,1.0042745893411136,1.0044702103129763,1.0042243165347886
K AY V,3,-11.520578366260793,-11.52016917809606,-11.457783629253118,-11.45768825240518,-13.106320127483666,-12.964640007901421,-13.080683562502582,-12.957006634211409,1.1571787023099982,1.1565724900732413,1.1570026735009538,1.1565295558162014,1.0017100860654449,1.001739788795776,1.0016782912570752,1.0017307173418084
L AH M,3,-8.468709093903925,-8.469242367326498,-8.519238477327693,-8.519374849491207,-9.770315518628994,-9.823070247131264,-9.787260806710082,-9.827510608436922,1.1712585649264473,1.1693566487260652,1.1710506763041646,1.1693064996675917,1.0144551894336955,1.0149372155936118,1.0134040450097714,1.0146511426719937
P AH M,3,-9.005565959418735,-9.00598344653691,-9.0301145203574,-9.030222669710557,-9.127574714256761,-9.167603269695997,-9.148660204472339,-9.173048885672133,1.2245723611392516,1.2201948578970294,1.224247549722598,1.2201173176265248,1.018176854032771,1.0182606197610982,1.016831726131558,1.017906045117644
SH IY,2,-7.4421106172568265,-7.441993207553843,-7.457114511637894,-7.457084624215787,-8.956353658876678,-8.864184210451565,-8.96574404306864,-8.866852666319163,1.052492878173729,1.0542262715245083,1.052490200834147,1.0542246749627067,1.0006202774331792,1.000816040325819,1.0006232147494158,1.0008127717269981
Z EY,2,-8.436023011603655,-8.435444351452677,-8.461771559445232,-8.461616501011601,-11.488625285971153,-11.978925512122323,-11.500254301647933,-11.979644321097162,1.0277417925229697,1.0299208359868381,1.0277934195461715,1.0299323439877273,1.0000563888575618,1.0000365159935711,1.0001038691249027,1.00004931488347
F L EH T,4,-13.056270918782694,-13.05656754846877,-12.991262258073151,-12.991344718200462,-12.55572436664929,-12.572168681934489,-12.585648307317028,-12.579658169887164,1.2005052071517013,1.2079651528147501,1.2002730657838683,1.2079021155091858,1.012436428375374,1.0122145385923145,1.011601189095597,1.0120001271123351
G R AY N T,5,-16.846188137121374,-16.846126794735007,-16.79232264598729,-16.792309392764658,-14.404731643638463,-14.072126972775674,-14.456955581518054,-14.086172031173284,1.2487698474973823,1.2572535561988452,1.2484606355429406,1.2571686691980368,1.0190623831383565,1.0212345647396877,1.0176179610913274,1.020786795652969
R AY N T,4,-12.466561396937411,-12.466863022223105,-12.380367936150662,-12.380454750757071,-11.998978475484314,-11.652429361020847,-12.027795902409535,-11.660102344490092,1.2691225100772208,1.2770697721983222,1.268737432317675,1.2769686639637865,1.0204961894372284,1.022182115604862,1.018886400127744,1.0217076721188398
SH AY N T,4,-13.753319445237114,-13.753203064374695,-13.677851715827886,-13.677831623332295,-16.512061024836328,-15.903110718951567,-16.27110493744546,-15.853726246253599,1.2179502828454805,1.2251959449651502,1.2176774311930054,1.2251227859252023,1.0191428568557466,1.0206372722702717,1.0176399706289125,1.0201946709626466
CH IH N D,4,-14.094807959581678,-14.093907517597888,-13.988283426146108,-13.988093002404867,-13.895858161055754,-13.703272173880485,-13.938247367560647,-13.713606962893456,1.2344810201581358,1.2404537899693544,1.2341868460535572,1.240377527455703,1.023070204666939,1.0232136922681858,1.0212778498576636,1.0227262051885881
