word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
g v,2,-6.045888925686437,-6.063647925362876,-6.346570445953713,-6.352499294141468,-7.155656481422073,-6.257275902297419,-7.81174778653828,-6.776598192690235,1.0977224576271187,1.0985927249830434,1.09537288647343,1.0974693986411692,1.0056497175141244,1.0088761899343883,1.0023923444976077,1.0046081135671392
cz k,2,-7.170860146847248,-7.1504257563839815,-7.137474098197706,-7.12483617042638,-8.138297678907795,-8.606544712083066,-8.956437368951963,-8.907477616573507,1.0825388418079096,1.0754362403608029,1.0812575483091786,1.074982804733986,1.002824858757062,1.0014898350499999,1.0015948963317385,1.00128166939836
g n,2,-7.1285008730081065,-7.115740198396091,-7.449370830912915,-7.434763226966714,-6.594341457733691,-6.484761360494434,-7.4733381905768415,-7.127827942434257,1.083598163841808,1.0803797146061902,1.0823520531400965,1.079968385299727,1.002824858757062,1.002638861019594,1.0015948963317385,1.0017991331265665
d ni,2,-7.096752174693526,-7.0849685397293385,-7.516056867644114,-7.50002032642816,-6.643789733147672,-6.559760103793572,-7.505253987229182,-7.24608865988294,1.0727401129943503,1.0694588814120844,1.072312801932367,1.0694113458372607,1.002824858757062,1.0028199437828758,1.0015948963317385,1.00188068373054
s n,2,-6.537136386758103,-6.538424833361268,-6.648098196335543,-6.642076213816633,-6.362505635175551,-6.259422784818284,-7.018881285069405,-6.755357275885595,1.1434939971751412,1.153699528883762,1.137907608695652,1.150977405494409,1.002824858757062,1.0029796700999998,1.0015948963317385,1.001952616461165
s m,2,-5.797469190563265,-5.822804796949264,-5.792654090753727,-5.804279531837197,-6.463092872080718,-6.055444219166711,-7.030953866303674,-6.426656448894559,1.1689177259887005,1.173524716830408,1.161345108695652,1.1700275719178466,1.0056497175141244,1.007264100413468,1.0023923444976077,1.0038821092158252
l j,2,-5.92637308765574,-5.948513897878069,-6.047671566412761,-6.057341827746082,-6.815639990074332,-8.197612910521059,-7.383441962755415,-8.252297006734697,1.0660310734463276,1.0718587397628891,1.066009963768116,1.0715024393148915,1.002824858757062,1.0,1.0015948963317385,1.0006107223355551
x m,2,-6.42162349963626,-6.431868860298668,-6.747931877121594,-6.748392929932908,-6.844460428609823,-6.899345043536039,-7.641000507865989,-7.373119988095636,1.1012093926553672,1.0889141816979588,1.0985431763285023,1.0880836764360928,1.0056497175141244,1.0038421384756397,1.0023923444976077,1.002341029006163
rz m,2,-6.42162349963626,-6.431868860298668,-7.044886373125463,-7.039128065249382,-6.556778356158041,-7.719003714656743,-7.504868333541408,-8.252235495094999,1.088188559322034,1.0632881674195584,1.086465881642512,1.0632653079863954,1.002824858757062,1.001879962521917,1.0015948963317385,1.001457363265545
m r,2,-5.797469190563265,-5.822804796949264,-5.915176971894413,-5.925887874150075,-6.175410799628939,-6.414418971096299,-6.854497428962118,-6.7420393322908385,1.1094632768361583,1.1323310668706656,1.1061669685990339,1.1297860958788006,1.002824858757062,1.004191782156045,1.0015948963317385,1.00249849100197
rz r,2,-6.180461442819372,-6.195480082234438,-6.532362316698494,-6.531897239174898,-7.361034465286678,-inf,-7.77634843141691,-8.896065573000252,1.0938382768361583,1.1089726213950877,1.0916742149758454,1.1071638300856494,1.002824858757062,1.0,1.0015948963317385,1.0006107223355551
rz w,2,-6.679452608938359,-6.683183288579574,-6.934639658163073,-6.930256507008663,-7.174417984209842,-7.283853168550677,-7.788509996456185,-7.733028494290541,1.068414548022599,1.0885477445431657,1.0682367149758454,1.0875374182577022,1.002824858757062,1.0029796700999998,1.0015948963317385,1.001952616461165
zi l,2,-8.177664886262235,-8.063046759369175,-8.218329620255162,-8.158787173669179,-6.880178511211903,-7.671703204018793,-8.3598741913072,-8.285736966317181,1.0614848163841808,1.08022347676361,1.0617451690821256,1.0795094695514877,1.002824858757062,1.0009399812609585,1.0015948963317385,1.0010340428005502
p w,2,-6.497131052144404,-6.506252580420496,-5.980859802519147,-5.991422192275632,-5.727499001273517,-5.150278511961339,-6.6967050860161,-5.630328573832409,1.0866437146892656,1.1395067186570251,1.085144927536232,1.1368903368051002,1.002824858757062,1.0070039988165687,1.0015948963317385,1.0037649724881919
x r,2,-6.180461442819372,-6.195480082234438,-6.235407820694625,-6.241162103858425,-6.262422176618569,-5.71280415348988,-6.996189873867335,-6.205936692881847,1.1068591101694916,1.134598635673488,1.1037515096618358,1.1319821985353469,1.002824858757062,1.0051920447324372,1.0015948963317385,1.0029489591512217
m w,2,-6.296460356682253,-6.310508003294401,-6.317454313358992,-6.3242471419838395,-7.087406607220212,-6.335477081944229,-7.559806174561338,-6.751056649425606,1.084039548022599,1.1119061900187437,1.0827294685990339,1.1101596840508534,1.002824858757062,1.0050686773305524,1.0015948963317385,1.0028934006543664
zi w,2,-8.28889052137246,-8.171260344009408,-8.129088122094345,-8.070647153422975,-inf,-inf,-8.993302137165523,-8.714982946697384,1.050185381355932,1.0847067849643086,1.051328502415459,1.0838175128134593,1,1,1.0007974481658692,1.0006107223355551
cz w,2,-7.308061268360733,-7.283957149008504,-7.2765465979235575,-7.262374581131656,-6.545809324787467,-6.444491313980775,-7.527783733992932,-7.117973651624305,1.068414548022599,1.0943984390911963,1.0682367149758454,1.0932037185805759,1.002824858757062,1.0033697975719171,1.0015948963317385,1.00212831032835
g l,2,-6.535437151005143,-6.543221005624762,-6.572921508529527,-6.576235006992762,-5.63203448857283,-5.603721256093114,-6.624798865101573,-6.161487635850049,1.1005473163841808,1.120981171475745,1.0979770531400965,1.1189826187324998,1.002824858757062,1.0045664111015127,1.0015948963317385,1.0026672051093493
j f,2,-5.593667333830004,-5.62309149744344,-5.579021852504727,-5.593528305028512,-inf,-inf,-11.535234751890062,-11.086687425484559,1.044977048022599,1.0636956824375436,1.046497584541063,1.0636139416918615,1,1,1.0007974481658692,1.0006107223355551
