word,word_len,uni_prob,uni_prob_smoothed,uni_prob_freq_weighted,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
V R,2,-6.521640207078471,-6.174975872037525,-6.208287671519235,-6.139868834885087,-inf,-inf,-7.786077085318444,-7.4203507762210865,1.2909090909090908,1.3401645711562953,1.2077922077922079,1.3079510926344353,1,1,1.001934235976789,1.0015635185131846
S R,2,-3.8825828774632125,-4.1600728514952605,-3.877906300690875,-3.9391824092252277,-inf,-inf,-6.204038147072457,-6.326865584398723,1.5272727272727271,1.5389882531303647,1.3766233766233766,1.4931815256091627,1,1,1.001934235976789,1.0015635185131846
V L,2,-6.8893649872037885,-6.511448108658739,-6.717058281663793,-6.639493288761777,-inf,-inf,-8.004766286283273,-7.561316609102266,1.2,1.2296208178635093,1.1532467532467532,1.2111021263249595,1,1,1.001934235976789,1.0015635185131846
M L,2,-6.196217806643843,-6.105983000550574,-6.092658859444393,-6.079713683841021,-inf,-inf,-8.045588280803527,-7.589233437041902,1.2,1.2334956625150901,1.1532467532467532,1.2147120542037506,1,1,1.001934235976789,1.0015635185131846
F P,2,-6.196217806643843,-6.174975872037526,-5.930857403930878,-5.9380473289139735,-inf,-inf,-8.497194544909547,-7.902309530775203,1.1454545454545453,1.1444837181565966,1.1246753246753247,1.138714908605709,1,1,1.001934235976789,1.0015635185131846
SH T,2,-6.784004471545962,-6.6168086243165645,-6.709719525326557,-6.66696692466525,-inf,-inf,-8.710564584396778,-8.185157891249283,1.096969696969697,1.1058029746109157,1.0935064935064933,1.103217034099865,1,1,1.001934235976789,1.0015635185131846
ZH R,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.2727272727272727,1.3187439033809387,1.1818181818181819,1.284887268065737,1,1,1,1
F SH,2,-7.294830095311953,-7.022273732424729,-7.16098632718384,-7.099252203502454,-inf,-inf,-8.754239647899439,-8.085496956417856,1.0545454545454545,1.0610950555939853,1.07012987012987,1.0656569064069936,1,1,1.001934235976789,1.0015635185131846
SH N,2,-7.700295203420117,-7.30995580487651,-7.647028738706004,-7.553406015685916,-inf,-inf,-8.597235899089775,-7.926143017757979,1.0666666666666667,1.062264256063529,1.0753246753246752,1.06507213888733,1,1,1.001934235976789,1.0015635185131846
F T,2,-6.378539363437797,-6.329126551864784,-6.066485000815269,-6.06940409229211,-inf,-inf,-8.462103225098279,-7.82370955016059,1.115151515151515,1.1347871019840219,1.1064935064935064,1.1302195642281185,1,1,1.001934235976789,1.0015635185131846
N R,2,-5.828493026518526,-5.769510763929361,-5.646255383167431,-5.63751453800532,-inf,-inf,-7.8268990798386975,-7.55246473146325,1.2909090909090908,1.3406717921675229,1.2077922077922079,1.3084236357771375,1,1,1.001934235976789,1.0015635185131846
Z R,2,-6.521640207078471,-6.174975872037525,-6.582081091236914,-6.454384620073694,-inf,-inf,-7.786077085318444,-7.664367096610356,1.2909090909090908,1.333483872918916,1.2077922077922079,1.3017271427769703,1,1,1.001934235976789,1.0015635185131846
SH M,2,-7.700295203420117,-7.30995580487651,-7.584661604838408,-7.495980707644928,-inf,-inf,-8.597235899089775,-7.8896538228076345,1.0666666666666667,1.0604348243609658,1.0753246753246752,1.0634693475576587,1,1,1.001934235976789,1.0015635185131846
S F,2,-5.34891994625664,-5.412835819990629,-5.235445131718159,-5.257511054532685,-inf,-inf,-7.824525895693142,-7.689192831128063,1.2545454545454544,1.220244349749426,1.2129870129870128,1.2139254243790085,1,1,1.001934235976789,1.0015635185131846
F S,2,-5.34891994625664,-5.412835819990629,-5.235445131718159,-5.257511054532685,-inf,-inf,-9.146281735675462,-8.862583810283304,1.0545454545454545,1.0610950555939853,1.07012987012987,1.0656569064069936,1,1,1.001934235976789,1.0015635185131846
Z L,2,-6.8893649872037885,-6.511448108658739,-7.090851701381471,-6.954009073950385,-inf,-inf,-8.004766286283273,-7.805332929491535,1.2,1.22294011962613,1.1532467532467532,1.2048781764674943,1,1,1.001934235976789,1.0015635185131846
Z T,2,-7.477151652105907,-7.022273732424729,-7.488353120406915,-7.340427986543947,-inf,-inf,-9.075207697984688,-8.684727087093222,1.0787878787878786,1.0884320159280139,1.0805194805194804,1.087033699367941,1,1,1.001934235976789,1.0015635185131846
V Z,2,-9.086589564540008,-8.120886021092838,-8.987694622138164,-8.729221374444382,-inf,-inf,-9.326522126265592,-8.775671122167099,1.018181818181818,1.0214206677753566,1.044155844155844,1.0286949914042813,1,1,1.001934235976789,1.0015635185131846
ZH L,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.1818181818181819,1.2082001500881527,1.1272727272727272,1.188038301756261,1,1,1,1
SH F,2,-7.294830095311953,-7.022273732424729,-7.16098632718384,-7.099252203502454,-inf,-inf,-9.041921720351219,-8.527125147495754,1.0363636363636364,1.0321109282208791,1.057142857142857,1.0386543762787401,1,1,1.001934235976789,1.0015635185131846
Z N,2,-8.393442383980062,-7.7154209129846745,-8.425662333786361,-8.226867077564613,-inf,-inf,-8.961879012677684,-8.42571221360192,1.0484848484848484,1.044893297380627,1.0623376623376624,1.048888804155406,1,1,1.001934235976789,1.0015635185131846
F N,2,-7.294830095311953,-7.022273732424729,-7.003794214194715,-6.955843183312776,-inf,-inf,-8.348774539791275,-7.564694676669286,1.0848484848484847,1.091248383436635,1.0883116883116883,1.0920746690155836,1,1,1.001934235976789,1.0015635185131846
V T,2,-7.477151652105907,-7.022273732424729,-7.114559700689236,-7.02591220135534,-inf,-inf,-9.075207697984688,-8.440710766703955,1.0787878787878786,1.0951127141653931,1.0805194805194804,1.0932576492254062,1,1,1.001934235976789,1.0015635185131846
Z V,2,-9.086589564540008,-8.120886021092838,-8.987694622138164,-8.729221374444382,-inf,-inf,-9.326522126265592,-8.775671122167099,1.018181818181818,1.0147399695379773,1.044155844155844,1.0224710415468161,1,1,1.001934235976789,1.0015635185131846
F K,2,-5.908535734192062,-5.92366144375662,-5.755979556426847,-5.76790808872674,-inf,-inf,-8.56388591940822,-7.990474241951554,1.1757575757575758,1.1536136398818315,1.1428571428571428,1.1467137638574705,1,1,1.001934235976789,1.0015635185131846
F M,2,-7.294830095311953,-7.022273732424729,-6.94142708032712,-6.898417875271788,-inf,-inf,-8.348774539791275,-7.528205481718942,1.0848484848484847,1.089418951734072,1.0883116883116883,1.0904718776859121,1,1,1.001934235976789,1.0015635185131846
Z M,2,-8.393442383980062,-7.7154209129846745,-8.363295199918765,-8.169441769523624,-inf,-inf,-8.961879012677684,-8.389223018651574,1.0484848484848484,1.043063865678064,1.0623376623376624,1.0472860128257346,1,1,1.001934235976789,1.0015635185131846
ZH M,2,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,1.0303030303030303,1.0283238961400867,1.0363636363636364,1.0304461381145014,1,1,1,1
SH P,2,-6.601682914752008,-6.462657944489306,-6.574091928442166,-6.535610161287114,-inf,-inf,-8.745655904208046,-8.263757871863895,1.1272727272727272,1.1154995907834904,1.1116883116883116,1.1117123784774554,1,1,1.001934235976789,1.0015635185131846
V M,2,-8.393442383980062,-7.7154209129846745,-7.9895017802010875,-7.8549259843350185,-inf,-inf,-8.961879012677684,-8.145206698262305,1.0484848484848484,1.0497445639154432,1.0623376623376624,1.0535099626831999,1,1,1.001934235976789,1.0015635185131846
