Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
27,canift,K AH N IH F T,12,control,natural,NatCon,4.538,0,0.000000806,line,2,199.1229,5.293922222
28,canift,K AH N IH F T,58,control,natural,NatCon,4.538,0,0.000000806,line,2,146.5041,4.987053414
29,canift,K AH N IH F T,58,control,natural,NatCon,4.538,0,0.000000806,line,2,296.049,5.690524981
1,clope,K L OW P,40,control,natural,NatCon,4.21,0,0.00000283,line,2,297.1975,5.694396901
2,clope,K L OW P,32,control,natural,NatCon,4.21,0,0.00000283,line,1,70.97241,4.26229121
3,clope,K L OW P,78,control,natural,NatCon,4.21,0,0.00000283,line,2,420.6119,6.041710556
4,clope,K L OW P,72,control,natural,NatCon,4.21,0,0.00000283,line,1,604.8933,6.405052079
5,clope,K L OW P,5,control,natural,NatCon,4.21,0,0.00000283,line,2,141.9448,4.95543825
6,clope,K L OW P,29,control,natural,NatCon,4.21,0,0.00000283,line,1,251.3369,5.52679427
7,clope,K L OW P,22,control,natural,NatCon,4.21,0,0.00000283,line,2,124.1505,4.821494539
8,clope,K L OW P,19,control,natural,NatCon,4.21,0,0.00000283,line,2,285.1986,5.65318578
9,clope,K L OW P,35,control,natural,NatCon,4.21,0,0.00000283,line,1,542.6297,6.296427135
10,clope,K L OW P,3,control,natural,NatCon,4.21,0,0.00000283,line,1,520.1267,6.254072436
11,clope,K L OW P,1,control,natural,NatCon,4.21,0,0.00000283,line,1,141.9951,4.95579255
12,clope,K L OW P,19,control,natural,NatCon,4.21,0,0.00000283,line,2,501.8571,6.218315418
13,clope,K L OW P,6,control,natural,NatCon,4.21,0,0.00000283,line,2,169.297,5.131654569
14,clope,K L OW P,50,control,natural,NatCon,4.21,0,0.00000283,line,2,49.60705,3.904132961
15,clope,K L OW P,73,control,natural,NatCon,4.21,0,0.00000283,line,2,117,4.762173935
16,clope,K L OW P,80,control,natural,NatCon,4.21,0,0.00000283,line,2,659.5992,6.491632378
17,clope,K L OW P,77,control,natural,NatCon,4.21,0,0.00000283,line,2,336.4618,5.818484621
18,clope,K L OW P,20,control,natural,NatCon,4.21,0,0.00000283,line,2,643.961,6.467638165
