word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
D W EH Z IH G,6,-23.644188811797413,-23.64258978121024,-23.564241116329885,-23.56385420245145,-24.7916915146047,-24.1814607335366,-24.658041518356203,-24.157989247526803,1.172131690200574,1.1690456222503156,1.1721008264767416,1.1690416984206586,1.0040854565187918,1.0048520413824682,1.0040048561946155,1.004813853955544
D W AA T IH F,6,-21.852062175136172,-21.851216831667003,-21.749885764000314,-21.749701854057843,-23.11022281166899,-22.961756360114148,-22.970048686195856,-22.93493484155221,1.2466090155787937,1.2476962813471089,1.2463883303029597,1.2476396161780918,1.0187845311547172,1.0183108315982878,1.0171851306272846,1.017863285354955
F L EH Z IH G,6,-22.099658496621004,-22.099086877964226,-22.123106981866478,-22.122952640039877,-21.646077782857194,-21.382240010067317,-21.69841099008374,-21.396899789386428,1.189509055621625,1.1886142636134485,1.1894400390527768,1.1885997773362278,1.0138331539166823,1.0139497741492776,1.0129789542080294,1.0137229028458568
F L AA T IH F,6,-20.30753185995976,-20.307713928420988,-20.308751629536903,-20.30880029164627,-20.72485942267242,-20.654755543058144,-20.766030929452448,-20.665656363344947,1.2639863809998446,1.2672649227102417,1.263727542878995,1.267197695093661,1.025666734828039,1.0253458737099974,1.0235234879975776,1.0247530965956835
F N IY B IH D,6,-20.058620893908355,-20.058962817678786,-20.07368217855911,-20.073771393549084,-26.042639032395318,-27.046711638041824,-25.364751206593795,-26.683975969247403,1.2312207451522696,1.227476522700089,1.2310084153559946,1.2274241738596763,1.0089903272336482,1.0082242876009813,1.0082173514638195,1.0080171110855454
F N EH Z IH G,6,-21.79829919886177,-21.797769977728777,-21.816531685595255,-21.816388520375032,-27.774474184460324,-28.11986687036585,-27.134325240206696,-27.773850246420768,1.1998282165554244,1.1965526994497717,1.1997365562417714,1.1965339316370789,1.0034578109501755,1.0036341797375714,1.003427334004362,1.0036215493743912
F R EH P IH D,6,-20.053582163722474,-20.054000263595324,-19.943534784794313,-19.943652298501004,-18.8634629086519,-18.757295559632272,-18.905426974437656,-18.767958084799687,1.2936496629425718,1.299288878824088,1.2932939165004804,1.2991952808668432,1.0226772667144237,1.0234979821820351,1.0208118046405046,1.0229686317323732
F R AA S IH P,6,-19.82806898342347,-19.82848128665779,-19.800412091620764,-19.800520036514428,-20.75625989124737,-20.63522558026946,-20.79268095149411,-20.64486692211828,1.275224266657554,1.2738942074670012,1.2749499224024308,1.2738277366951447,1.02108334474829,1.0209439633266666,1.0195364298340706,1.0205339468940662
F W IY B IH D,6,-22.539436574207876,-22.53845917473854,-22.458230422830336,-22.458012695569614,-inf,-inf,-25.215686798155225,-26.875455107474135,1.1865043811058054,1.1849890614837038,1.1863901742036849,1.1849596279349275,1.0096207358530533,1.0088750771597657,1.0087972144053061,1.0086541909965854
F W EH Z IH G,6,-24.27911487916129,-24.27726633478853,-24.201079929866484,-24.200629822395562,-inf,-inf,-25.962648651310495,-26.880172657038383,1.15511185250896,1.1540652382333865,1.1551183150894617,1.15406938571233,1.0039162899461065,1.0046349318136754,1.0038490525072614,1.0046012194305736
G L EH P IH D,6,-20.36556241609046,-20.365798035717827,-20.34302201927072,-20.343081621908723,-20.21088132508238,-20.302095265544303,-20.252503529484546,-20.312735750097378,1.22920809898515,1.231289256914315,1.2289937353741232,1.2312323225573092,1.0169294941356986,1.0162694089189594,1.0155219395594894,1.0158909415071637
G L AA T IH F,6,-20.598227851898923,-20.598230871658615,-20.656412215474678,-20.656405104433563,-21.693844485080767,-21.684290558491888,-21.735403274142996,-21.695468503979285,1.2446559030918194,1.2464106351394566,1.2444394587537067,1.2463546436427537,1.0221142368016491,1.0218500927476446,1.0202516105631452,1.0213293703708874
G R IY B IH D,6,-20.629391923177934,-20.629515832266993,-20.676091412229475,-20.676115815380793,-18.940063173976654,-19.287547778080512,-18.96237624659504,-19.28781497131544,1.2466821923598417,1.2458291336319687,1.2464359110427807,1.2457668749665445,1.0250846844292074,1.0247875112779086,1.023030309698384,1.024235035536725
G R AA T IH F,6,-20.576943591470105,-20.576950042773742,-20.60458556693605,-20.604580593813136,-20.156984127463033,-20.127440894425806,-20.208271690241556,-20.14130821868145,1.2897669891412162,1.2935559694784446,1.2894515557547757,1.2934745505013803,1.0309272700611605,1.0310480943219456,1.0283631075255755,1.0303357485971079
